Name,Experiment,Min Temperature [K],Avg Temperature [K],Max Temperature [K],Min Current [A/cm2],Avg Current [A/cm2],Max Current [A/cm2],Min Restivity [𝛀 cm],Avg Restivity [𝛀 cm],Max Restivity [𝛀 cm],Min Electrical Field [V/cm],Avg Electrical Field [V/cm],Max Electrical Field [V/cm],Min Osc Amplitude [V/cm],Avg Osc Amplitude [V/cm],Max Osc Amplitude [V/cm],Min Osc Period [ms],Avg Osc Period [ms],Max Osc Period [ms],Fixed Source
CA8_01_A,CA8_01_A_at_fixed_current_1.42e-6A-20220421121309,132.17147303988222,132.20021154629558,132.22780493785564,5.978947368421052e-05,5.978947368421053e-05,5.978947368421052e-05,6821586.130601841,9340341.600883633,11847316.381026486,407.8590444401942,558.4541083475688,708.3448109918993,293.90994305386755,296.7879252592556,299.0670076442317,2565,2642.0833333333335,2786,True
CA8_01_A,CA8_01_A_at_fixed_current_-3e-8A-20220422093420,103.52991145492213,103.53106290420104,103.53260651432586,-1.263157894736842e-06,-1.2631578947368422e-06,-1.263157894736842e-06,14512566.326614555,218610621.5202576,586050832.4952855,-740.2747357835184,-276.1397324466412,-18.331662728355226,480.784161448147,584.4952620637047,721.7135785369226,3422,3707.222222222222,4128,True
CA8_01_A,CA8_01_A_current_from_1e-6_to_2e-6A-20220421110002,129.49759082700308,129.54455950634835,129.59155786995376,4.382384532760472e-05,4.897959183673468e-05,5.4135338345864654e-05,8062922.728202764,11697355.326098422,15856240.076949203,360.27667614740596,571.5239442374966,739.9044501891007,295.75284638117506,320.52285090266804,338.0834214569079,2583,2602.3333333333335,2631,False
CA8_01_A,CA8_01_A_current_from_-1e-6_to_1e-6A_flipped-20220421112932,123.91692038234838,124.02711525796384,124.12181769841908,-2.169059011164274e-05,5.9542796384901635e-06,3.359914938862307e-05,10495747.068404682,31094364.646594312,44076495.97274239,-713.3439472369095,102.77011601052136,720.976598409457,358.05026745556296,388.26035769053857,413.58152798257686,2574,2599.1428571428573,2632,False
CA8_01_A,CA8_01_A_current_from_1e-7_to_1.3e-6A-20220421182659,128.18008827778402,128.19512224278725,128.2102148447273,3.636363636363636e-05,4.248803827751196e-05,4.861244019138756e-05,8660806.836821219,12970013.211979238,18568504.82468859,320.97923841488625,548.8380248884832,737.0807981096107,311.80235990202567,341.7866008820742,359.97232529012916,2602,2634.6666666666665,2699,False
CA8_01_A,CA8_01_A_square_waveform_value_3e-08A-20220422141850,106.03441275426287,106.06878147350844,106.10900449286056,1.263157894736842e-06,1.2631578947368422e-06,1.263157894736842e-06,132261361.02593529,521980232.7363828,567335794.0067744,167.06698234854983,659.343451877536,716.6346871664518,508.33522269454545,527.8173999329562,547.9180315023785,11150,15846.714285714286,21091,True
CA8_01_A,CA8_01_A_current_from_-0.5e-6_to_1e-6A_flipped-20220421110914,125.48674415636046,125.50853322221597,125.53079483682355,2.792696025778732e-05,3.3082706766917295e-05,3.823845327604726e-05,9885364.459696144,16333061.9135835,24077273.640428293,288.9890500546017,536.7159979763455,728.1793648932955,337.61202285248925,364.56047777990295,383.41601401750955,2590,2598.5,2616,False
CA8_01_A,CA8_01_A_at_fixed_current_3e-8A-20220422093131,103.52840419840257,103.53029761154912,103.53162145568422,1.263157894736842e-06,1.2631578947368422e-06,1.263157894736842e-06,14481333.095286576,263835566.09133413,584439297.0473976,18.292210225625148,333.2659782206326,738.2391120598706,698.2394409037346,707.9519253393793,719.9071050017584,3988,4046.55,4102,True
CA8_01_A,CA8_01_A_current_from_0.5e-7_to_4e-7A-20220421185114,113.94484249810267,113.97889766329429,114.01218858920588,5.380116959064327e-06,1.088782562466773e-05,1.6395534290271132e-05,13436985.972045481,33163497.57602075,59754324.46726804,74.49612852674248,350.4234035977452,665.8452953116614,246.78823750794345,400.63176855133025,449.01101842882974,2551,2600.0588235294117,2668,False
CA8_01_A,CA8_01_A_at_fixed_current_1.38e-6A-20220421120616,131.9379137262401,131.98458562227574,132.02783996253783,5.8105263157894734e-05,5.810526315789474e-05,5.8105263157894734e-05,6912091.9797130255,9537992.522055117,12144847.274526644,401.6289234527989,554.2075654920445,705.6795468988113,296.38422598298405,299.4359940334905,302.05738294577463,2560,2645.3,2837,True
CA8_01_A,CA8_01_A_at_fixed_current_1.40e-6A-20220421120923,132.0640061836883,132.09919024764014,132.13250116654953,5.894736842105263e-05,5.894736842105262e-05,5.894736842105263e-05,6865030.398887344,9432072.572826449,11973621.297201348,404.6754761449381,555.9958569245061,705.8134659402899,294.88527421136087,297.8096332203254,299.7115508720841,2568,2643.4893617021276,2782,True
CA8_01_A,CA8_01_A_at_fixed_current_1.34e-6A-20220421120127,131.72970562376446,131.75851550479538,131.78745061498805,5.642105263157895e-05,5.642105263157895e-05,5.642105263157895e-05,7018044.505896693,9758908.484868927,12453332.707233746,395.9654584379608,550.6078892515521,702.6301401133987,300.4941579314303,302.580268874589,305.1383359143155,2572,2617.576923076923,2700,True
